SUBJECT	MON	YEAR	PAGE	LOCATION	TYPE	MEMO
Palm Beach BC	11	1991	4		Journey Through the Bible course with	Discipling Dynamic Ministries - photo
Edmonton Mulgrave Baptist Community	11	1991	5		first Baptist service held	
Kalbar BC	11	1991	5		report on growth	
Terminally ill	11	1991	5		feature on ministry to terminally ill	photo
Annerley BC	11	1991	6		plans for progress in existing site	
Campus Life	11	1991	7		letter on visit of Dr Rose	
Helensvale BC	11	1991	7		youth ministry	
Wondai Preston BC	11	1991	7		evangelistic work by Max Horton	Ambassadors for Christ
Baptist Union of Qld	11	1991	8		new site for Baptist Union office	518 Brunswick St New Farm
Cleveland BC	11	1991	8		childrens and outreach ministry - photo	
Ministers' Wives Course	12	1991	0		review - Baptist Theological College	
Shaw, Rev. S.	12	1991	0		Agenda for Change	Baptist Theological College
Cannon Hill BC	12	1991	1		ministry in Philippines with	New Life in Christ Ministries - photo D. Shepherd
Palm Beach BC	12	1991	2		visit by Dr Gene Jeffries	evangelism and outreach
Your Christian Bookstore	12	1991	2		owned by K. Bray - new location	
Drought	12	1991	3		report on rural areas	
Australasian Centre for Biblical Studies	12	1991	4		Graduation - photo Daniels Wenn Caddy	Jarrott Abrahams Kelso Jeffries McCarthy Scarlett
Beenleigh BC	12	1991	4		A. Bartlem inducted - photo	
Marsh, Ivan and Alice	12	1991	4		Diamond Wedding	
North Qld College of Ministries	12	1991	4		summer school	
Brighton BC	12	1991	5		letter on new members and baptisms	
Religious Education	12	1991	5		letter from C. Lister	
Schimke, Mr Walter	12	1991	5	Lowood Minden	80th birthday - photo	
Carey-Balmoral BC	12	1991	6		report	
Olsen, Rev. M.	12	1991	6		farewell as Missions officer - photo	
Lawnton BC	12	1991	7		testimony Dianne Webb	
Nanango BC	12	1991	7		Ian Jones pastor - Pearly Gates cartoons	
Airlie Beach BC	12	1991	8		witness as street stall	
Muller, Leanne and Stephen	12	1991	8		wedding - photo - Leanne typesetter	Baptist Union staff
Young, Alan	12	1991	8		concludes as coordinator Mission to Qld	report also on other staff changes
Forward Thrust	2	1992	1		report on progress	photo - Rev. Russell Hinds - Coordinator
Religious Instruction	2	1992	2		letter from F. Giovas	
Youth ministry	2	1992	2		letter from K. Tracey on Youth Concern	
Aboriginal ministry	2	1992	3		Aboriginal & Islander Baptist Conference	
Youth ministry	2	1992	4		Tidal rock'n'roll music	photo - Peter Shurley
Burdekin BC	2	1992	5		report on work established by	Andrew Borrell
Burpengary BC	2	1992	5		youth ministry	
Counselling	2	1992	6		report on Learning the Language of	Healing labs by Christine Erksine-Smith - photo
Toowoomba Central BC	2	1992	6		relocation report	
Christmas witness	2	1992	7	Fairfield	report on united ministry - photo	
Sercombe, Rev. G.	2	1992	7		Continuous Evangelism Thrust program	Campaigners for Christ
Chaplaincy - sport	2	1992	8		Dr Mark Tronson Sports Life Ministries	photo
Baptist Theological College	3	1992	0		office extension - staff photo	L. Thompson, R. McDonough
Ministers' Wives Training Course	3	1992	0		feature	
Dunlop, Rev. and Mrs Doug	3	1992	1		retirement feature - photo	
Charismatic ministry	3	1992	2		letter by B. Morgan	
Christian schools	3	1992	2		letter by J. Scanlan	
Hoey, Mr and Mrs Tom	3	1992	3		feature - photo	cont. April 1992 page 5
Cooper, Rev. S.	3	1992	4	Ipswich	induction - photo	
Cramb, Rev. Goeff	3	1992	4		inducted Assoc. General Superintendent	Baptist Union of Qld
Laidley BC	3	1992	4		Mrs Shirley Mutzelburg appointed	Pastoral Assistant
Mission to Qld	3	1992	4		report on new staffing	
Dept of Mission	3	1992	5		mission trip to Indonesia - photo	
Hervey Bay BC	3	1992	5		mission trip to Vanuatu	photo
Atherton BC	3	1992	6		children's ministry	
Reclaiming Easter	3	1992	6		report	
Hymn book	3	1992	7		review of Baptist Praise and Worship	by Robert Brown
Ip, Rev. Cecil	3	1992	7	Toowong	farewell	
Redland Bay BC	3	1992	7		report	
Hogg, Mr and Mrs Mac	3	1992	8		50 years marriage	
Kenmore BC	3	1992	8		photo - baptism in Brisbane River	
Soccer	3	1992	8		report on Qld Baptist Soccer Assoc	
South Brisbane Vulture St BC	3	1992	8		Easter celebrations	
Baptist Union of Qld	4	1992	1		opening new Baptist house - photo	
Easter	4	1992	2		letter by Peter Mack	
Religious instruction	4	1992	2		letter by C. Gibbons	
Easter Live	4	1992	3		report on performance	
Woodridge BC	4	1992	3		new youth scheme	photo Pastor R. McFadden
Abrahams, Rev. N.	4	1992	4		retirement announced	
Discipling Dynamics Ministry	4	1992	4		report - Dr R. Wenn	
Warwick BC	4	1992	4		creative ministry report - photo	
Cossgrove, Rev. A.	4	1992	5		10 years ministry at Lawnton - photo	
Gin Gin BC	4	1992	5		10 year anniversary	
Hoey, Mr and Mrs Tom	4	1992	5		feature (cont)	
Charismatic	4	1992	6		letters in response by D. Bennett and	K. Buxton
Islam	4	1992	6		letter by C.D. Baldwin	
Beerwah BC	4	1992	7		developments	
Gook, Rev. Ian	4	1992	7		appointed Chaplain Blue Nurses	
Gordon Park BC	4	1992	7		Family camp - M. Horton on church growth	
Jarrott, Rev and Mrs R.E.	4	1992	7		Golden Wedding	
Rumours - Procter and Gamble	4	1992	8		article by Rev. R. Furlong	
National Baptist Family Convention	5	1992	1		Qld venue for 1994	
Rumours - AIDS	5	1992	2		letter by K.G. Smith	
Revival	5	1992	3		article	
Stafford North BC	5	1992	3		youth ministry team to NSW	
Baptist Historical Society - BHSQ	5	1992	6		presentation on William Carey with	Dr Ken Manley
Beenleigh BC	5	1992	6		outreach	
Bribie Island BC	5	1992	6		A. Otte inducted	
Hillcrest Christian College	5	1992	6	Palm Beach BC	Christian school to expand	
Labrador BC	5	1992	6		expansion - 3 new pastors	M. Warmington, V. Shore, S. Brady
Olsen, Rev. Maurice	5	1992	6		obit	
Carey BC	5	1992	7		report	
Howard Fellowship	5	1992	7		3rd anniversary	
Qld Baptist Women's Ministries	5	1992	7		camp	
Retreat ministry	5	1992	7	Windsor Road BC	report on interest in retreat centre	
QB - Qld Baptist	5	1992	8		survey results	
Baptist Theological College	6	1992	0		Austudy relief	
Baptist Theological College	6	1992	0		new degree course B.Min.	
Community Service - Illoura centre	6	1992	1	Beaudesert	Illoura Child & Family Counselling	Centre opens - photo of staff
Fraser Coast BC	6	1992	1		report after 1 year	
Music	6	1992	2	Nundah	letter on rock music by Margaret Knights	
Evangelism	6	1992	3		report by Field Minister, L. Kelly	
Hervey Bay BC	6	1992	3		report of Easter Expo - photo	
Dalby BC	6	1992	4		report	
Seniors ministry	6	1992	4		report on Over 50s club by N.E. Weston	
Youth ministry	6	1992	4		Task force on youth ministry -	photo B. Dobbins, Field Minister
Caboolture BC	6	1992	5		report on progress - photo of pastors	D. Loder, D. Mensforth, F. Andrews
Stanthorpe BC	6	1992	5		team to Solomon Islands	
Comedy ministry	6	1992	7		feature on Chris and Sue Chapman,	Christian comedians
Lawnton BC	6	1992	7		missions convention	
Dunkin, Mr and Mrs Merv	6	1992	8		new ministry - photo	
Rothwell BC	6	1992	8		report on developments	
Wheat, Mr and Mrs Mervyn	6	1992	8	Margate	Golden Wedding	
Church growth	6	1992	9		visit of Dr E. Smith, USA	
Marriage education	7	1992	1		notice of new scheme by Peter Lindsay	Community Service People Helper group
Ministers' Fraternal	7	1992	1		Rev. K. McMorrin president - photo	
Church planting	7	1992	2		letter by C. Lister	
Music	7	1992	2		letter by M. Cottrell	
Bindari Hostel	7	1992	3		report on changes in 10 years	photo - Narelle Oliver  coordinator
Youth Concern	7	1992	3		Kevin Tracy elected Director - photo	
National Church Life Survey	7	1992	4		report on survey - church shopping	
Carey BC	7	1992	5		report	
Dalby BC	7	1992	5		ecumenical service	
Fraser Coast BC	7	1992	5		1st Sunday school anniversary	
Margate and Clontarf BC	7	1992	5		missions convention	
Mission to Qld	7	1992	5		report and photo of staff by R. Kingham	
Seniors ministry	7	1992	5		Over 50s report by N.E. Weston	
Creation Science	7	1992	6		Bus for use in lecture - photo	
Rumours	7	1992	6		letter by B. Cochrane	
Seniors ministry	7	1992	6		letter on Over 50s group by C. Radford	
Commercialism	7	1992	7		article by R. Furlong	
Cooktown BC	7	1992	8		baptist - photo	
Hooker, Rev. Arthur	7	1992	8	North Pine	obit	
Wondai Proston BC	7	1992	8		country music witness	
Marantika, Dr Chris	8	1992	1		Speaks at Mapleton Leadership Conference	photo
Euthanasia	8	1992	2		letter from A. Jago	
Missionary work	8	1992	2		letter from C. Horne	
Music	8	1992	2		letter on rock music from R. Black	
Baptist Theological College	8	1992	3		Annual lecture by Canon L. Shilton photo	
Abrahams, Rev. N.	8	1992	4		retirement	
Gympie BC	8	1992	4		outreach to Tin Can Bay	Danny Russell as pastor - photo
Kruger Parade	8	1992	4		building opened	
Mapleton camp	8	1992	4		J. Pultz replaces G. Shepherd as	Director - photo
Qld Baptist Women's Ministries	8	1992	4		Support groups	
Smithfield BC	8	1992	4		5th anniversary	
Magnetic Island BC	8	1992	5		report on ministry by John Tindale	
Sandgate BC	8	1992	5		youth team to Emerald BC - photo	
Students	8	1992	5		University students and belief in Bible	
Baptist Historical Society	8	1992	6		Carey lecture by K. Manley published	
Carey BC	8	1992	6		report	
Evans, Mrs Rosa	8	1992	6		obit	Widow of Rev. P.J. Evans
Hillcrest Christian College	8	1992	6		10th anniversary	
Humphreys, David William Pastor	8	1992	6		obit	
Jarrott, Rev.R.E.	8	1992	6		Awarded doctorate Cambridge Grad School	
Talera Centre	8	1992	6		counselling children of violence	photo - staff
Commercialism	8	1992	7		letter of response from N. Heckenberg	
Hinds, Rev Russell	8	1992	7		Sports chaplain to Barcelona Games	
Horton, Max and Meryl	8	1992	7		feature on ministry	
Kabar BC	8	1992	8		testimony of Brett Appleby - photo	
Baptist Union of Qld	9	1992	0		annual reports and yearbook - glossy	issue of QB - Qld Baptist with photos of personnel
Baptist Union of Qld	10	1992	1		report of assembly addresses	by Dr Gordon Moyes - photo
Music	10	1992	2		letter on rock music from J. Watson	
Students	10	1992	2		letter of response from J.H. Butterss	
Emerald BC	10	1992	4		report on Mission to Qld work	photo Colin and Maureen Lister
Baptist Union of Qld	10	1992	5		feature reporting on Assembly	
Women's role	10	1992	5		address by Dr G. Moyes	
Evangelism	10	1992	6		1-1-1 scheme	
Church growth	10	1992	7		forum on mega churches and	neighbourhood churches
Single mothers	10	1992	7		Assembly forum feature	
Baptist Union of Qld	10	1992	8		opening of B.G. Wilson Centre - photo	
Ordination	10	1992	8		L. Kelly, R. Kingham	
Bayside BC	10	1992	9		seniors ministry	
Bridgeman Downs BC	10	1992	9		outreach by Ashgrove BC	
Carey BC	10	1992	9		outreach, building plans	
Gordon Park BC	10	1992	9		children's ministry	
Kruger Parade BC	10	1992	9		opening of church - photo	
Minden BC	10	1992	9		Ladies fellowship 70th anniversary	
Silkstone BC	10	1992	9		work party to Solomon Islands	
Barlow, Rev. Alan F.	10	1992	10		obit	
Brett, Dr Mark	10	1992	10		Professor OT, Whitley College	formerly member Bracken Ridge BC
Chambers, Mr David	10	1992	10		Principal, Pacific College	formerly of Gympie
Creative Ministries	10	1992	10		new magazine	
Lane, Rev. F.	10	1992	10		Golden Wedding	
Parker, Rev Dr David	10	1992	10		concluding at Bible College of Qld	
Rockhampton Tabernacle BC	10	1992	10		130th anniversary	
Church - mission	10	1992	11		letter by G. Tomkins	
Church government - autonomy	10	1992	11		letter by Dr R. Wenn	
Baptisms	10	1992	12		reports from South Brisbane Wynnum	Gateway
Euthanasia	10	1992	12		lectures by Dr K. Gunning	
Herbert, Steve and Jill	11	1992	1	Toowoomba	church support overseas aid worker	
Women's role	11	1992	2		letters in response to Dr G. Moyes	
Revival	11	1992	3		article on book by S. Robinson	by J. Tanner
Port Douglas BC	11	1992	4		feature on Tony and Linda Woodward	Mission to Qld - photo
Retreat	11	1992	5		Ministry of Rev. D. Cran - photo	
City Tabernacle BC	11	1992	6		ministry team to Bundaberg - photo	
Disciple Life Strategy Conference	11	1992	6		report - photo - Dr R. Wenn	
Accountability	11	1992	7		article by R. Furlong	
National Baptist Family Convention	11	1992	7		report on planning	
Bayside BC	11	1992	8		building extensions	
Carey BC	11	1992	8		report	
Churchill BC	11	1992	8		Ladies fellowship	
Condon, Rev. F.	11	1992	8		called to City Tabernacle	
Dallinger, Mr and Mrs Harry	11	1992	8		Diamond Wedding	
Horton, Max	11	1992	8		report on ministry	
Kruger Parade BC	11	1992	8		Children's ministry	
Minden BC	11	1992	8		110th anniversary	
Moore Park BC	11	1992	8		report	
Willow Creek Conference	12	1992	1		report on church growth conference	
Ministry to ships	12	1992	2		letter from J. Abernethy	
Stamps for Missions	12	1992	2		letter	
Women's role	12	1992	2		letters from E. Chataway and P. Lamont	and K. Smith page 8
Tithing	12	1992	3		articles on stewardship	
Miller, Jim and Ivene	12	1992	4		retires from Gateway BC	
Rockhampton BC	12	1992	4		family camp	
Toowoomba BC	12	1992	4		new land	
Confict seminar	12	1992	5	Kenmore	notice of seminar	
Gladstone BC	12	1992	5		report of outreach	
Charters Towers BC	12	1992	6		mission support - TEAR	
Evangelism	12	1992	7		reports on 1-1-1 and Hervey Bay BC	by L. Kelly Field Minister - photo
Carey BC	12	1992	8		growth	
Geebung BC	12	1992	8		evangelistic crusade with G. Sercombe	
National Baptist Women's Conference	12	1992	8		report	
Silkstone BC	12	1992	8		80th anniversary	
Womens role	12	1992	8		letter of response by K. Smith	
Birkdale BC	2	1993	1		opening church -  photo	
National Baptist Family Convention	2	1993	1		update on plans	
Tithing	2	1993	2		letter of response on tithing by C. Kirk	
Women's role	2	1993	2		letters by R. Hill and J. Gilby	
Drought relief	2	1993	3		Downs and Lockyer Assoc	
Public issues	2	1993	3		article by David Parker	
Bundaberg BC	2	1993	4		relocation	
Mundubbera BC	2	1993	4		reports of progress	
Peace BC	2	1993	4		relocation	
South Pine BC	2	1993	4		church site	
Banyo BC	2	1993	5		Christmas presentation	
Gordon Park BC	2	1993	5		outreach	
Hervey Bay BC	2	1993	5		united Christmas presentation	
Beaudesert BC	2	1993	6		Christmas ministry	
Carey BC	2	1993	6		report	
Dalby BC	2	1993	6		thank offering	
Dell, Mr and Mrs B.	2	1993	6		accepted for Mission to Qld at Tully	photo
Discipling Dynamic Ministry	2	1993	6		report of ministry teams	Dr R. Wenn
Laidley BC	2	1993	6		Watchnight service	
Lane, Rev. and Mrs S.	2	1993	6		Diamond Wedding	
Margate BC	2	1993	6		commission members for study and service	
QB - Qld Baptist	2	1993	6		policy - no personal news published	
Redland Bay BC	2	1993	6		86th anniversary	
Russell, Mr John	2	1993	6	Warwick  Maroochydore	obit	
Moore Park BC	2	1993	7		report - D. Kemp inducted	
Victoria Point BC	2	1993	7		report	
Emerald BC	2	1993	8		report of baptism	
Jarrott, Rev. R.E.	2	1993	8		obit	photo
Gateway BC	3	1993	1		opening of new church - photo	
Pentecost	3	1993	1		Prayer summit for Pentecost	
QB - Qld Baptist	3	1993	2		letter on personal news policy from	R. Trump
Slaying in the Spirit	3	1993	2		letter by I. Sands	
Solomon, Rev Dr S.W.	3	1993	2		editorial on chang in Baptist churches	to serve needs of Baby Boomers
Women's role	3	1993	2		letter by J. McKenzie	
Roberts, Pastor Roy	3	1993	3		article on evangelism and missions	
Barrawinga	3	1993	4		camp report	
Discipling Dynamics Ministries	3	1993	4	Clontarf Beach	Assistance from USA - photo Bob Tanner	
Greenbury, Rev Phil	3	1993	4	Tieri BC	farewell	
Retreat	3	1993	4		Retreat centre established	photo - Windsor Road BC
Caboolture BC	3	1993	5		Heritage service	
Kingaroy BC	3	1993	5		report on outreach	
Lawnton BC	3	1993	5		Brigade training scheme	
Muller, Mr Daren	3	1993	5		voluntary service in Western Samao	with Boys' Brigade - photo
Brighton BC	3	1993	6		outreach	
Broadbeach BC	3	1993	6		Pastor R. Ham inducted	
Caboolture BC	3	1993	6		report	
Carey BC	3	1993	6		report	
Clontarf Beach BC	3	1993	6		youth in beach missions	
Coolum BC	3	1993	6		report	
Fraster Coast BC	3	1993	6		team from Gin Gin	
Holmers, Mr Peter	3	1993	6	Dalby BC	obit	
Holmers, Peter	3	1993	6	Dalby BC	obit	
Rockhampton BC	3	1993	6		report	
Seymour-Smith, Mr and Mrs G.	3	1993	6	Dalby BC	Golden Wedding	
South Pine BC	3	1993	6		Rev D. McPherson called, R. Meredith	concludes
Talera Centre	3	1993	6		Domestic violence program	
Toowoomba BC	3	1993	6		childrens ministry with E. Free	
Brisbane Valley BC	3	1993	7		growth	
Flinders BC	3	1993	7		constituted	
Kelly, Rev. L.	3	1993	7		article on Holy Spirit's power	
Bundaberg BC	3	1993	8		new building	
Easter Live	3	1993	8		presented at South Bank - photo	
Gin Gin BC	3	1993	8		children's ministry	
Gladstone BC	3	1993	8		Rev R. De la Fontaine inducted	
Laidley BC	3	1993	8		Baptism of Mr and Mrs J. Bonnell	
Qld Baptist Women's Fellowship	3	1993	8		celebrate 25 years SW Pacfic Fellowship	
Mail Bag Sunday School	4	1993	1		report on work after 58 years - photo	
Mareeba BC	4	1993	1		Mission to Qld work begins with	Rev. Phil Greenbury - photo
Church planting	4	1993	2		letter by R. Bickerton	
QB - Qld Baptist	4	1993	2		letter on editorial policy by M. Harris	
Women's role	4	1993	2		letter by C. Ball	
Withers, Mr and Mrs A.	4	1993	3		interview - work in Philippines	with Servants to Asia's Urban Poor - photo
Caddy, Rev. Wes	4	1993	4		obit	
Community Services - People Helper Division	4	1993	4		reports on work of P. Lindsay	
Coolangatta BC	4	1993	4		appeal to assist needy child	
Labrador BC	4	1993	5		baptisms - photo	
Smithfield BC	4	1993	5		constituted - new building	
Baptist Theological College	4	1993	6		new courses - M.Div, D.Min in	association with Denver Seminary
Martin, Mr and Mrs L.	4	1993	6	Bangkok	wedding - nee Jan Brown - photo	
